romaji_title,english_title,native_title,description,genres,episodes,start_date,end_date,average_score,popularity,image_url
Air Gear,Air Gear,エア・ギア,"Minami Itsuki never thought about seriously riding Air Treck motorized roller blades, until he got his butt handed to him by a street gang of Storm Riders. That day, he discovered in a locked up room, a pair of AT's and a box of stickers belonging to the Sleeping Forest street gang. One thing leads to another, and Ikki dons the wheels and begins to ride. As his reputation builds in the AT street fighting/racing world, he begins to develop his own gang and participate in more fights, gaining more and more territory. ","Action, Comedy, Ecchi, Sports",25.0,2006-4-5,2006-9-27,70.0,50466,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b857-0pbF6kMJpUeL.png
Gunparade Orchestra,Gunparade Orchestra,ガンパレード・オーケストラ,"The story focuses and revolves around the 108th Guard Squad, stationed in Aomori. A poorly equipped unit with very little military standing, it is often viewed as a 'reject camp' for pilots not making the grade for the elite units based in Hokkaido. The apparent helpless nature of this force is hardly a deterrent for the encroaching enemy armies, ever closing in on both the 108th and the rest of the empire. The young pilots of the 108th, who had dreamed on returning home, are plunged forcefully and unwillingly into a war.
<br><br>
(Source: Anime News Network)","Drama, Mecha, Romance, Sci-Fi, Slice of Life",24.0,2005-10-4,2006-3-28,58.0,1305,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b858-PUfsBakM2C1v.jpg
Digimon Savers,Digimon Data Squad,デジモンセイバーズ,"Masaru, a second year Junior High student and undefeated street-fighter, is about to learn the meaning of the word ""teamwork."" After Agumon escapes DATS, an organization that deals with Digimon, it winds up in a fight with Masaru. Soon Yoshino and Lalamon come to capture Agumon, and the two fighters escape. After an evil Digimon appears, it's up to Masaru and Agumon to defeat it with their DNA Charge.<br><br>
Soon, Masaru must join DATS to put an end to the Digimon coming to Earth. With the help of Yoshino, Ikuto, and Touma, the group must stop any evil Digimon that appear, and return them to the Digital World.<br><br>
But not everything goes as planned...","Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",48.0,2006-4-2,2007-3-25,66.0,16099,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/859-bjjZXdawvrJW.jpg
Makai Senki Disgaea,Netherworld Battle Chronicle: Disgaea,魔界戦記ディスガイア,"From the darkest realms of another dimension emerges the story of Laharl, the son of a demon overlord, and his two sidekicks: his impish servant and an angelic assassin. Awoken from a two-year, poison-induced nap, Laharl learns of his father&rsquo;s demise and blazes a trail of destruction on his quest to declare rule over the Netherworld. Never skimping on the wisecracks, the diabolical prince and his accomplices battle dragons, sorceresses, robots, power-hungry humans, and corrupt angels.<br><br>
Based on the popular adventure games, Disgaea lunges at you with a full-force attack. You can laugh, cry, scream or squirm, but you can&rsquo;t escape the wrath of Laharl, dood!<br><br>
(Source: FUNimation)","Action, Comedy, Fantasy",12.0,2006-4-5,2006-6-21,62.0,7076,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx860-DdUHMh4FzngD.png
xxxHOLiC,xxxHOLiC,XXX ホリック,"Watanuki Kimihiro can see spirits and other assorted supernatural creatures, which is quite a bothersome ability he strongly dislikes. On the way home one day, while plagued by some spirits, he is inexplicably compelled to enter a strange house. There, he encounters Yuuko, a mysterious woman who claims to be able to rid him of the ability to see and attract the troublesome creatures – for a price. She demands for him to work at her ""store"" that grants wishes to people, and thus begins Watanuki's adventures through weird and wonderful events.
","Comedy, Drama, Horror, Mystery, Psychological, Supernatural",24.0,2006-4-7,2006-9-29,76.0,59647,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx861-rbZNhIXwS4JE.png
Joshikousei,Girl's High,女子高生,"Eriko and her friends Yuma and Ayano are excited about entering high school. Their excitement leads to their breaking of the rules when they toured the school before the opening ceremony. They find out their preconceptions about the all female school may not be as true as they had first thought. Despite that, Eriko and her friends are joined by new friends. They aim to get through high school life together.
<br><br>
(Source: Anime News Network)","Comedy, Drama, Ecchi",12.0,2006-4-3,2006-6-19,61.0,6977,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/863.jpg
Kikou Senki Dragonar,Metal Armor Dragonar,機甲戦記ドラグナー," A.D. 2087 - the United Lunar Empire Giganos wages war on the Earth Federation Military to take control of the planet and establish a ""rebirth"" of the human race. During an invasion of a colony by Giganos' forces, three civilian men stumble upon a trio of top-secret Metal Armor units called ""Dragonars"" and pilot them to combat the enemy forces. <br>","Adventure, Mecha, Sci-Fi",48.0,1987-2-7,1988-1-30,66.0,2303,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx865-izgThpRMbYaK.jpg
.hack//Roots,.hack//Roots,.hack//Roots,"After the destruction of ""The World"" in 2015, CC Corporation rebuilt the game using data from what was previously to be another game. ""The World R:2"" was then released in 2016. A newcomer to the game, Haseo, is instantly PKed and then revived by a mysterious man known as Ovan. With the problem of PKs occupying the game, Haseo soon after receives help from a female Harvest known as Shino. Amidst curiosity and confusion, Haseo is lead to joining the guild known as the Twilight Brigade. The guild that searches for the legendary object known as the ""Key of the Twilight"". Set before the .hack//G.U. game.","Adventure, Drama, Fantasy, Sci-Fi",26.0,2006-4-6,2006-9-28,65.0,10740,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx873-OizdLkXe1uYR.png
Digimon Tamers,Digimon Tamers,デジモンテイマーズ,"Takato Matsuda, Ruki Matsuno, and Lee Jenrya are children who have, by fate, received real Digimon, unlike the imaginary ones in the card game they play. Each of the children, or ""Digimon Tamers"", have their different views on how Digimon should be treated. But when other Digimon begin to appear around Japan, they must put aside their differences to fend off the digital intruders; even though Yamaki, who is the head of a secret organization called Hypnos is trying to eliminate all of the Digimon himself.
<br><br>
(Source: Anime News Network)","Action, Adventure, Drama, Fantasy, Sci-Fi",51.0,2001-4-1,2002-3-31,75.0,33942,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx874-3uug3PiSeyf7.jpg
Street Fighter II V,Street Fighter II V,ストリートファイターII V,"Ryu and Ken Masters are close friends and both are martial artists. In order to become better fighters and learn new techniques, they travel the world and are exposed to many different fighting styles, as well as meeting new people. During their journey, they find themselves caught up in a conspiracy perpetrated by a mysterious organisation called Shadowlaw, both now face their ultimate challenge and must fight for their lives as they combat the evil M. Bison.
<br><br>
(Source: Anime News Network)","Adventure, Drama, Mystery",29.0,1995-4-10,1995-11-27,66.0,4705,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/876.jpg
NANA,NANA,NANA-ナナ-,"Two twenty-somethings seemingly share nothing in common apart from their first name, but a chance meeting on a train bound for Tokyo sets Nana Komatsu and Nana Oosaki on a collision course with destiny. Nana Komatsu, a love-at-first-sight dreamer, aims to find enduring happiness in the big city. Nana Oosaki, neo punk rock vocalist, pursues her burning ambitions of musical stardom and worldwide fame. As their fates increasingly intertwine, they each chase their dreams — until the harsh realities of life in big city Tokyo threaten to tear everything apart.<br>
<br>
(Source: Sentai Filmworks)","Drama, Music, Romance, Slice of Life",47.0,2006-4-5,2007-3-28,85.0,162831,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx877-6BUYEWp8By8j.png
Zegapain,Zegapain,ゼーガペイン,"Kyo, an avid swimmer tries his best to keep the high school swimming club going, which is pretty hard when he's the only member. Facing the prospect of the club being closed by the student council, he tries to enlist beautiful Misaki to act in a promo video, shot by his good friend Ryoko, in a bid to start a recruitment drive. She agrees but only if he pilots a mecha under the wing of Celebrum, a resistance organisation fighting to destroy Deutera Areas formed on Earth by the aliens Gards-orm. He agrees but finds it all strangely familiar as if he's done it before...
<br><br>
(Source: Anime News Network)","Action, Mecha, Romance, Sci-Fi",26.0,2006-4-6,2006-9-28,70.0,8227,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx878-E65KwO2LaQhp.jpg
